ch1,ch2,ch3,ch4,value,tag
780.8791504,800.2197876,795.3846436,788.53479,L,HK
812.7106323,790.9523926,803.0402832,804.6520386,L,HK
763.5531006,788.9377441,801.0256348,780.4761963,L,HK
830.4395752,841.3186646,784.1025391,810.6959839,L,HK
792.967041,802.234436,801.0256348,820.366272,L,HK
820.7692261,795.7875366,801.8314819,832.8571167,L,HK
791.3552856,796.5933838,801.4285889,794.5787354,L,HK
820.366272,797.8021851,799.8168335,812.3076782,L,HK
787.3259888,791.7582397,799.8168335,792.967041,L,HK
799.8168335,799.8168335,804.2490845,803.0402832,L,HK
826.4102783,794.9816895,807.4725342,805.0549316,L,HK
780.8791504,802.234436,794.5787354,787.3259888,L,HK
822.3809814,789.7435913,797.399292,816.3369751,L,HK
786.9230957,807.0695801,801.4285889,771.2088013,L,HK
813.1135254,796.1904907,804.6520386,808.6813354,L,HK
807.4725342,795.3846436,796.9963379,803.0402832,L,HK
797.399292,803.0402832,797.399292,799.0109863,L,HK
809.8901367,790.5494385,809.0842285,812.7106323,L,HK
749.8534546,786.5201416,808.6813354,779.267395,L,HK
834.8717651,796.9963379,801.8314819,810.6959839,L,HK
795.3846436,803.4432373,798.2051392,802.234436,L,HK
807.4725342,791.3552856,808.6813354,802.234436,L,HK
822.7838745,810.6959839,792.967041,809.8901367,L,HK
788.53479,799.4139404,799.0109863,790.1465454,L,HK
820.366272,798.2051392,798.2051392,806.666687,L,HK
789.7435913,795.3846436,793.3699341,791.3552856,L,HK
820.7692261,804.6520386,803.8461304,809.8901367,L,HK
794.5787354,801.0256348,810.6959839,799.8168335,L,HK
791.3552856,817.9487305,787.3259888,790.1465454,L,HK
811.5018311,812.7106323,792.967041,807.4725342,L,HK
787.7289429,797.8021851,809.4871826,789.3406372,L,HK
821.1721802,796.5933838,792.1611938,809.4871826,L,HK
788.9377441,788.9377441,805.4578857,801.0256348,L,HK
793.7728882,801.0256348,794.1758423,794.1758423,L,HK
830.4395752,806.666687,801.4285889,820.7692261,L,HK
780.8791504,789.7435913,800.6226807,790.5494385,L,HK
802.6373901,795.3846436,805.0549316,810.6959839,L,HK
821.9780273,799.0109863,805.4578857,820.366272,L,HK
773.2234497,795.7875366,807.0695801,773.6264038,L,HK
823.1868286,799.8168335,791.7582397,813.1135254,L,HK
798.6080322,800.6226807,796.9963379,795.7875366,L,HK
790.1465454,792.1611938,796.9963379,792.5640869,L,HK
827.2161255,797.399292,796.5933838,811.9047852,L,HK
772.8204956,788.53479,796.5933838,785.7142944,L,HK
826.4102783,797.399292,797.399292,815.1282349,L,HK
777.6557007,798.6080322,800.2197876,786.1171875,L,HK
809.8901367,808.6813354,799.0109863,802.234436,L,HK
799.4139404,790.1465454,809.8901367,810.2930298,L,HK
776.8497925,791.7582397,794.5787354,779.267395,L,HK
798.2051392,794.9816895,809.8901367,798.6080322,L,HK
799.4139404,799.4139404,797.8021851,784.9084473,L,HK
824.3956299,791.7582397,803.4432373,815.1282349,L,HK
774.0292969,785.7142944,791.7582397,781.6849976,L,HK
804.2490845,791.7582397,791.3552856,799.4139404,L,HK
834.065918,809.8901367,801.0256348,826.4102783,L,HK
773.6264038,785.3113403,797.399292,772.4176025,L,HK
823.9926758,804.6520386,809.4871826,806.666687,L,HK
812.3076782,790.5494385,796.5933838,806.666687,L,HK
772.8204956,792.967041,801.8314819,780.0732422,L,HK
833.2600708,799.4139404,806.666687,815.5311279,L,HK
802.234436,803.4432373,800.6226807,798.6080322,L,HK
827.6190186,798.6080322,801.8314819,818.3516235,L,HK
767.5823975,797.8021851,795.7875366,773.6264038,L,HK
821.1721802,810.6959839,803.8461304,811.9047852,L,HK
